Session campaign,Session source / medium,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Revenue
(referral),alcouponat.com / referral,3,4,2,55.75,0.666666667,5.75,0.5,23,12,1,0
(referral),link.2gis.com / referral,3,3,3,32.66666667,1,7.666666667,1,23,3,1,0
(referral),www1.huggiesarabia.com / referral,3,6,1,3.833333333,0.333333333,3.833333333,0.166666667,23,6,1,0
Emarsys - pain-relief - 18/05/2025,Emarsys - pain-relief - 18/05/2025 / Mail,3,4,2,34,0.666666667,5.75,0.5,23,4,1,0
Facebook Paid Ad - Weekend offers - Sunsilk 1+1 - 27 till 29 May 2021,Facebook Paid Ad - Weekend offers - Sunsilk 1+1 - 27 till 29 May 2021 / Paid Ad,3,7,1,0,0.333333333,3.285714286,0.142857143,23,7,1,0
Influencer - Soug Alebrahim - Beauty Care - Pella - 27/02/2024,Influencer - Soug Alebrahim - Beauty Care - Pella - 27/02/2024 / Video,3,4,2,63.75,0.666666667,5.75,0.5,23,4,1,0
Instagram paid ad - Weekend offers - 28-30 Sep 2023,Instagram paid ad - Weekend offers - 28-30 Sep 2023 / Paid ad,3,4,3,3.75,1,5.75,0.75,23,4,1,0
Instagram story - Beauty Care - Chi - 01/03/2024 - 07/03/2024,Instagram story - Beauty Care - Chi - 01/03/2024 - 07/03/2024 / Post/Video/Story/Reel,3,3,2,94,0.666666667,7.666666667,0.666666667,23,3,1,0
Magazine Offers,Snapchat / (none),3,10,7,8,2.333333333,2.3,0.7,23,2,0.2,0
Mailchimp - Magazin H&W offer - 11 - 24 October 2022,Mailchimp - Magazin H&W offer - 11 - 24 October 2022 / mail,3,3,2,53,0.666666667,7.666666667,0.666666667,23,4,1,0
SMS - White friday offers H&W - 06/11/2023,SMS - White friday offers H&W - 06/11/2023 / SMS,3,7,3,11.14285714,1,3.285714286,0.428571429,23,8,1,0
SMS paid ad - Hypertension - 28/04/2025,email paid ad - Hypertension - 28/04/2025 / SMS,3,5,3,49,1,4.6,0.6,23,5,1,0
Snapchat Paid Ad - Magazine offers - seven seas - 01/04/2025 - 05/04/2025,Paid Ad / Snapchat,3,3,2,104.6666667,0.666666667,7.666666667,0.666666667,23,3,1,0
Snapchat Paid Ad - Shea Miracles - 20/05/2025,Snapchat Paid Ad - Shea Miracles - 20/05/2025 / Paid Ad,3,3,2,67.33333333,0.666666667,7.666666667,0.666666667,23,5,1,0
Snapchat Paid Ad - Weekend offers - Cetaphil - 01/04/2025 - 05/04/2025,Snapchat Paid Ad - Weekend offers - Cetaphil - 01/04/2025 - 05/04/2025 / Paid Ad,3,3,1,152,0.333333333,7.666666667,0.333333333,23,3,1,0
Snapchat Paid Ad - Weekend offers - Wixsana - 06/03/2025 - 08/03/2025,Snapchat Paid Ad - Weekend offers - Wixsana - 06/03/2025 - 08/03/2025 / Paid Ad,3,3,3,69.33333333,1,7.666666667,1,23,3,1,0
(not set),wowdeals.me / (not set),3,4,3,13,1,5.5,0.75,22,4,1,0
1.20E+17,ig / paid,3,6,3,10.83333333,1,3.666666667,0.5,22,7,1,0
Email - Baby and Mom campaign - Otimo - December 2021,Email - Baby and Mom campaign - Otimo - December 2021 / Email,3,3,1,32.66666667,0.333333333,7.333333333,0.333333333,22,3,1,0
Facebook Paid Ad - Magazine offers - Fine Baby - 08/05/2025 - 13/05/2025,Paid Ad / Facebook,3,5,3,38.2,1,4.4,0.6,22,7,1,0
Instagram Paid Ad - Weekend offers - SVR - 13/02/2025 - 15/02/2025,Instagram Paid Ad - Weekend offers - SVR - 13/02/2025 - 15/02/2025 / Paid Ad,3,6,5,2.5,1.666666667,3.666666667,0.833333333,22,6,1,0
Mailchimp - Magazine offers - 10-18 July - precious 70% off,Mailchimp - Magazine offers - 10-18 July - precious 70% off / Email,3,3,1,14,0.333333333,7.333333333,0.333333333,22,4,1,0
Medical Device Magazine - Ascensia Contour Next One Glucometer - 217696,Medical Device Magazine - Ascensia Contour Next One Glucometer - 217696 / Medical Device Magazine,3,10,1,0,0.333333333,2.2,0.1,22,10,1,0
Saudi-Arabia-TENA-Video-INCO-Women-INCO-Pants-Product-TENA-IWBM-Lady-Pants-YT-SoMe-2021-03-2021-04-Zenith,(not set) / paid-social,3,5,5,0,1.666666667,4.4,1,22,12,1,0
Slider 1 - Banner 6 - EN - Beauty care - Diva - 01/04/2024 - 05/04/2024,Slider 1 - Banner 6 - EN - Beauty care - Diva - 01/04/2024 - 05/04/2024 / banner,3,3,2,47.33333333,0.666666667,7.333333333,0.666666667,22,3,1,0
Snapchat Paid Ad - Weekend offers - SVR - 13/03/2025 - 15/03/2025,Paid Ad / Snapchat,3,5,2,32.2,0.666666667,4.4,0.4,22,5,1,0
Snapchat Paid Ad - Weekend offers - Tena -27/04/2025 - 03/05/2025,Paid Ad / Snapchat,3,3,1,35.33333333,0.333333333,7.333333333,0.333333333,22,5,1,0
meri-na,(not set) / display,3,6,3,3.666666667,1,3.666666667,0.5,22,6,1,0
(not set),Google_Display / AdVenture,3,3,2,23.33333333,0.666666667,7,0.666666667,21,3,1,0
(referral),brandsoftheworld.com / referral,3,5,2,3.2,0.666666667,4.2,0.4,21,5,1,0
Accelerate - Instagram paid ad - Weekend - bionnex - 08-10 Jun,Accelerate - Instagram paid ad - Weekend - bionnex - 08-10 Jun / mail,3,4,3,24,1,5.25,0.75,21,4,1,0
Emarsys - Weekend offers - beurer - 16/01/2025 - 18/01/2025,Emarsys - Weekend offers - beurer - 16/01/2025 - 18/01/2025 / mail,3,5,3,29.8,1,4.2,0.6,21,5,1,0
Emarsys- Weekend offers - koleston - 27/11/2024 - 01/12/2024,Emarsys- Weekend offers - koleston - 27/11/2024 - 01/12/2024 / Weekend,3,4,2,97.75,0.666666667,5.25,0.5,21,4,1,0
Instagram Paid Ad - Baby Milk Magazine - Baby Care - Similac Gold 1&2 - 2 PCS For 178 SAR - 26 - 28 Feb 2024,Instagram Paid Ad - Baby Milk Magazine - Baby Care - Similac Gold 1&2 - 2 PCS For 178 SAR - 26 - 28 Feb 2024 / Paid Ad,3,3,2,36.33333333,0.666666667,7,0.666666667,21,3,1,0
Instagram Paid Ad - Weekend offers - LIFREE - 27/05/2025 - 02/06/2025,Instagram Paid Ad - Weekend offers - LIFREE - 27/05/2025 - 02/06/2025 / paid,3,5,3,39.8,1,4.2,0.6,21,5,1,0
Instagram Paid Ad - Weekend offers - Personal Care - 15/05/2025 - 17/05/2025,Instagram Paid Ad - Weekend offers - Personal Care - 15/05/2025 - 17/05/2025 / Paid Ad,3,3,2,58.33333333,0.666666667,7,0.666666667,21,3,1,0
Instagram Stories - Extra Gum- 20/09/2023,Instagram Stories - Extra Gum- 20/09/2023 / Instagram Stories,3,3,3,101.3333333,1,7,1,21,3,1,0
Instagram strory - Personal care - Earthlybody - 18/02/2024,Instagram strory - Personal care - Earthlybody - 18/02/2024 / Story,3,5,2,6.2,0.666666667,4.2,0.4,21,5,1,0
LS_MundiPharma_KSA_FEM_MothersDay_Display_Arabic_Local,DV360 / display,3,5,3,8.4,1,4.2,0.6,21,5,1,0
Mailchimp - Free delivery campaign - 05/04/2022,Mailchimp - Free delivery campaign - 05/04/2022 / mail,3,3,2,78.66666667,0.666666667,7,0.666666667,21,3,1,0
Medical Device Magazine - Accu Chek Guide Wireless Blood Glucose Monitoring - 234680,Medical Device Magazine - Accu Chek Guide Wireless Blood Glucose Monitoring - 234680 / Medical Device Magazine,3,7,1,2,0.333333333,3,0.142857143,21,8,1,0
POS-printed-QR-code -21-06-2022- world cup campaign,POS-printed-QR-code -21-06-2022- world cup campaign / Printed QR code,3,6,4,0.333333333,1.333333333,3.5,0.666666667,21,8,1,0
Snapchat Paid Ad - Magazine offers - Avene - 24/04/2025 - 07/05/2025,Snapchat Paid Ad - Magazine offers - Avene - 24/04/2025 - 07/05/2025 / Paid Ad,3,3,1,32.66666667,0.333333333,7,0.333333333,21,3,1,0
Snapchat Paid Ad - Weekend offers - Babyjoy -27/04/2025 - 03/05/2025,Paid Ad / Snapchat,3,4,3,27.25,1,5.25,0.75,21,4,1,0
(organic),aol / organic,3,4,4,57.5,1.333333333,5,1,20,4,1,0
(referral),aajtak.in / referral,3,4,2,6.75,0.666666667,5,0.5,20,4,1,0
(referral),mybrowser-search.com / referral,3,4,2,31.75,0.666666667,5,0.5,20,4,1,0
1.20E+17,ig / paid,3,5,5,85.2,1.666666667,4,1,20,5,1,0
Emarsys - Weekend offers - priorin - 23/01/2025 - 25/01/2025,Emarsys - Weekend offers - priorin - 23/01/2025 - 25/01/2025 / mail,3,7,2,1.428571429,0.666666667,2.857142857,0.285714286,20,7,1,0
Facebook Paid Ad - Weekend offers - Aptamil - 13/03/2025 - 15/03/2025,Paid Ad / Facebook,3,8,2,10.25,0.666666667,2.5,0.25,20,8,1,0
Facebook Paid Ad - Weekend offers - HUGGIES - 17/04/2025 - 19/04/2025,Paid Ad / Facebook,3,6,1,0,0.333333333,3.333333333,0.166666667,20,6,1,0
Facebook paid ad - Magazine offers - 24 Feb - 08 Mar - tommee 60% on 2nd,Facebook paid ad - Magazine offers - 24 Feb - 08 Mar - tommee 60% on 2nd / paid ad,3,3,2,3,0.666666667,6.666666667,0.666666667,20,3,1,0
Facebook paid ads - Weekend offers - Personal care - 29/08/2024 - 31/08/2024,Facebook paid ads - Weekend offers - Personal care - 29/08/2024 - 31/08/2024 / Paid ad,3,3,3,17.33333333,1,6.666666667,1,20,3,1,0
Instagram Paid Ad - Magazine offers - dettol - 17/03/2025 - 31/03/2025,Paid ad / Instagram,3,4,3,114.5,1,5,0.75,20,5,1,0
Instagram paid ad - Magazine offer - 07-12 July - lujeera 2+1,Instagram paid ad - Magazine offer - 07-12 July - lujeera 2+1 / paid ad,3,4,4,6.75,1.333333333,5,1,20,4,1,0
Phase 2 warm up day 15,dengage / email,3,3,2,52.33333333,0.666666667,6.666666667,0.666666667,20,3,1,0
Facebook - paid ad - promo - bepanthene - 10-09-2024 - 30-10-2024,paid ad / Facebook,3,3,1,73,0.333333333,6.333333333,0.333333333,19,3,1,0
Facebook Paid Ad - Magazine offers - himalaya- 17/03/2025 - 31/03/2025,Paid Ad / Facebook,3,3,2,75.66666667,0.666666667,6.333333333,0.666666667,19,3,1,0
Facebook Paid Ad - Weekend offers - Dove - 27/01/2025 - 01/02/2025,Facebook Paid Ad - Weekend offers - Dove - 27/01/2025 - 01/02/2025 / Paid Ad,3,3,2,157.6666667,0.666666667,6.333333333,0.666666667,19,3,1,0
Facebook Paid Ad- PC Weekend-Offers-10-12 June 1+1 crest,Facebook Paid Ad- PC Weekend-Offers-10-12 June 1+1 crest / Paid ad,3,6,0,0,0,3.166666667,0,19,6,1,0
Facebook paid ad - Magazine offer - 14-24 May - amara 20% off,Facebook paid ad - Magazine offer - 14-24 May - amara 20% off / paid ad,3,4,2,0,0.666666667,4.75,0.5,19,4,1,0
Instagram Paid Ad - Magazine offers - Beauty care - ivatherm - 24/09/2024 - 05/10/2024,snapchat / Instagram Paid Ad - Magazine offers - Beauty care - ivatherm - 24/09/2024 - 05/10/2024,3,4,2,2,0.666666667,4.75,0.5,19,4,1,0
Instagram Paid Ad - Milk offers - post 2 - 18/05/2025 - 22/05/2025,Instagram Paid Ad - Milk offers - post 2 - 18/05/2025 - 22/05/2025 / Paid Ad,3,4,2,43.5,0.666666667,4.75,0.5,19,4,1,0
Instagram Paid Ad - Weekend offers - Ascensia - 27/05/2025 - 02/06/2025,Instagram Paid Ad - Weekend offers - Ascensia - 27/05/2025 - 02/06/2025 / paid,3,4,1,16.5,0.333333333,4.75,0.25,19,4,1,0
Instagram Story - Baby Care - Baby Food - 14/01/2024,Instagram Story - Baby Care - Baby Food - 14/01/2024 / story,3,3,3,13.33333333,1,6.333333333,1,19,3,1,0
Instagram paid ad - Killer offer - 18/01/2023 - 22/01/2023 - cetaphil,Instagram paid ad - Killer offer - 18/01/2023 - 22/01/2023 - cetaphil / paid ad,3,4,2,0,0.666666667,4.75,0.5,19,4,1,0
