ID,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Income
3DV20,3,7,3,17.57142857,1,4.142857143,0.428571429,29,7,1,0
PADJS,3,7,2,45.85714286,0.666666667,4.142857143,0.285714286,29,7,1,0
X8JXO,3,3,3,76.33333333,1,9.666666667,1,29,3,1,0
UZR7V,3,4,1,98.25,0.333333333,7.25,0.25,29,6,1,0
VZK5Z,3,5,3,12.2,1,5.8,0.6,29,5,1,0
81JPV,3,10,4,0.5,1.333333333,2.9,0.4,29,11,1,0
ENRUU,3,4,2,16.75,0.666666667,7.25,0.5,29,4,1,0
INKM0,3,3,1,118,0.333333333,9.666666667,0.333333333,29,3,1,0
H08WD,3,6,2,22,0.666666667,4.833333333,0.333333333,29,7,1,0
RXMZJ,3,9,5,32.88888889,1.666666667,3.222222222,0.555555556,29,9,1,0
YAQ82,3,3,3,79.33333333,1,9.333333333,1,28,3,1,0
LS4UJ,3,3,2,38,0.666666667,9.333333333,0.666666667,28,3,1,0
5VM03,3,3,3,13,1,9.333333333,1,28,3,1,0
41X1U,3,5,4,20.4,1.333333333,5.6,0.8,28,6,1,0
L119E,3,8,4,39.75,1.333333333,3.5,0.5,28,8,1,0
ZCBLS,3,3,3,40.33333333,1,9,1,27,3,1,0
9JANH,3,3,2,133.3333333,0.666666667,8.666666667,0.666666667,26,3,1,0
HZW51,3,3,2,59.66666667,0.666666667,8.666666667,0.666666667,26,3,1,0
E0JUR,3,4,2,42.25,0.666666667,6.5,0.5,26,4,1,0
QQ05Y,3,3,2,71.66666667,0.666666667,8.666666667,0.666666667,26,4,1,0
ZE57G,3,7,3,23.85714286,1,3.714285714,0.428571429,26,7,1,0
E92X1,3,3,3,129,1,8.666666667,1,26,3,1,0
JL5IR,3,4,2,80,0.666666667,6.5,0.5,26,4,1,0
A0QQ0,3,3,2,123.3333333,0.666666667,8.666666667,0.666666667,26,3,1,0
OZGRH,3,3,3,86.66666667,1,8.666666667,1,26,3,1,0
K5Z1J,3,3,2,159.6666667,0.666666667,8.666666667,0.666666667,26,4,1,0
Y7G9O,3,3,3,65,1,8.333333333,1,25,3,1,0
R46Q7,3,3,3,36.33333333,1,8.333333333,1,25,6,1,0
G5LIS,3,10,2,0.1,0.666666667,2.5,0.2,25,10,1,0
KG3H3,3,4,2,45,0.666666667,6.25,0.5,25,5,1,0
QW3MS,3,3,2,189.6666667,0.666666667,8.333333333,0.666666667,25,4,1,0
UZ6SB,3,3,3,81.66666667,1,8.333333333,1,25,3,1,0
E2ETS,3,5,2,8.2,0.666666667,4.8,0.4,24,5,1,0
0DS7S,3,3,3,18.66666667,1,8,1,24,3,1,0
ZY8GG,3,4,4,7.5,1.333333333,6,1,24,9,1,0
B8F7B,3,5,3,31.6,1,4.8,0.6,24,5,1,0
3ABG7,3,4,4,27,1.333333333,6,1,24,4,1,0
140LF,3,4,2,22,0.666666667,6,0.5,24,4,1,0
18VQP,3,4,1,79.5,0.333333333,6,0.25,24,4,1,0
EUVJW,3,3,3,36.66666667,1,8,1,24,3,1,0
1E1KS,3,4,2,55.75,0.666666667,5.75,0.5,23,12,1,0
0N5XF,3,3,3,32.66666667,1,7.666666667,1,23,3,1,0
0FYBA,3,6,1,3.833333333,0.333333333,3.833333333,0.166666667,23,6,1,0
WJZ9X,3,4,2,34,0.666666667,5.75,0.5,23,4,1,0
SG1TZ,3,7,1,0,0.333333333,3.285714286,0.142857143,23,7,1,0
ADK65,3,4,2,63.75,0.666666667,5.75,0.5,23,4,1,0
UJQ1Y,3,4,3,3.75,1,5.75,0.75,23,4,1,0
09FMP,3,3,2,94,0.666666667,7.666666667,0.666666667,23,3,1,0
OXW98,3,10,7,8,2.333333333,2.3,0.7,23,2,0.2,0
1I8NL,3,3,2,53,0.666666667,7.666666667,0.666666667,23,4,1,0
BALTG,3,7,3,11.14285714,1,3.285714286,0.428571429,23,8,1,0
YMB0P,3,5,3,49,1,4.6,0.6,23,5,1,0
F8EE5,3,3,2,104.6666667,0.666666667,7.666666667,0.666666667,23,3,1,0
CKIX2,3,3,2,67.33333333,0.666666667,7.666666667,0.666666667,23,5,1,0
PM9XM,3,3,1,152,0.333333333,7.666666667,0.333333333,23,3,1,0
2NJCW,3,3,3,69.33333333,1,7.666666667,1,23,3,1,0
76X7T,3,4,3,13,1,5.5,0.75,22,4,1,0
K79SO,3,6,3,10.83333333,1,3.666666667,0.5,22,7,1,0
5LXEQ,3,3,1,32.66666667,0.333333333,7.333333333,0.333333333,22,3,1,0
8GMVA,3,5,3,38.2,1,4.4,0.6,22,7,1,0
VRWY7,3,6,5,2.5,1.666666667,3.666666667,0.833333333,22,6,1,0
CVAIW,3,3,1,14,0.333333333,7.333333333,0.333333333,22,4,1,0
S7U09,3,10,1,0,0.333333333,2.2,0.1,22,10,1,0
CNX0J,3,5,5,0,1.666666667,4.4,1,22,12,1,0
0SMML,3,3,2,47.33333333,0.666666667,7.333333333,0.666666667,22,3,1,0
QEEDE,3,5,2,32.2,0.666666667,4.4,0.4,22,5,1,0
4ZFRS,3,3,1,35.33333333,0.333333333,7.333333333,0.333333333,22,5,1,0
RU4KJ,3,6,3,3.666666667,1,3.666666667,0.5,22,6,1,0
OKI0O,3,3,2,23.33333333,0.666666667,7,0.666666667,21,3,1,0
R1J4F,3,5,2,3.2,0.666666667,4.2,0.4,21,5,1,0
OP0EH,3,4,3,24,1,5.25,0.75,21,4,1,0
U8OMQ,3,5,3,29.8,1,4.2,0.6,21,5,1,0
JMZB2,3,4,2,97.75,0.666666667,5.25,0.5,21,4,1,0
R6T1V,3,3,2,36.33333333,0.666666667,7,0.666666667,21,3,1,0
CYJWE,3,5,3,39.8,1,4.2,0.6,21,5,1,0
N3PRR,3,3,2,58.33333333,0.666666667,7,0.666666667,21,3,1,0
NZW8Q,3,3,3,101.3333333,1,7,1,21,3,1,0
0N8EC,3,5,2,6.2,0.666666667,4.2,0.4,21,5,1,0
PQ7EK,3,5,3,8.4,1,4.2,0.6,21,5,1,0
U55JZ,3,3,2,78.66666667,0.666666667,7,0.666666667,21,3,1,0
3CEO3,3,7,1,2,0.333333333,3,0.142857143,21,8,1,0
LKBQO,3,6,4,0.333333333,1.333333333,3.5,0.666666667,21,8,1,0
CKU9M,3,3,1,32.66666667,0.333333333,7,0.333333333,21,3,1,0
7BWW0,3,4,3,27.25,1,5.25,0.75,21,4,1,0
6LT99,3,4,4,57.5,1.333333333,5,1,20,4,1,0
2C3O4,3,4,2,6.75,0.666666667,5,0.5,20,4,1,0
3IE4J,3,4,2,31.75,0.666666667,5,0.5,20,4,1,0
H70WF,3,5,5,85.2,1.666666667,4,1,20,5,1,0
VV85Q,3,7,2,1.428571429,0.666666667,2.857142857,0.285714286,20,7,1,0
KD7J1,3,8,2,10.25,0.666666667,2.5,0.25,20,8,1,0
E4HAK,3,6,1,0,0.333333333,3.333333333,0.166666667,20,6,1,0
BGYR4,3,3,2,3,0.666666667,6.666666667,0.666666667,20,3,1,0
ZZ6OU,3,3,3,17.33333333,1,6.666666667,1,20,3,1,0
CH9Q4,3,4,3,114.5,1,5,0.75,20,5,1,0
0J527,3,4,4,6.75,1.333333333,5,1,20,4,1,0
CZQ8K,3,3,2,52.33333333,0.666666667,6.666666667,0.666666667,20,3,1,0
PR8LK,3,3,1,73,0.333333333,6.333333333,0.333333333,19,3,1,0
1B9TH,3,3,2,75.66666667,0.666666667,6.333333333,0.666666667,19,3,1,0
JMK9I,3,3,2,157.6666667,0.666666667,6.333333333,0.666666667,19,3,1,0
DQUOQ,3,6,0,0,0,3.166666667,0,19,6,1,0
QSIS4,3,4,2,0,0.666666667,4.75,0.5,19,4,1,0
PSE9Y,3,4,2,2,0.666666667,4.75,0.5,19,4,1,0
4RCI4,3,4,2,43.5,0.666666667,4.75,0.5,19,4,1,0
KZ34J,3,4,1,16.5,0.333333333,4.75,0.25,19,4,1,0
02I5F,3,3,3,13.33333333,1,6.333333333,1,19,3,1,0
ZSUXI,3,4,2,0,0.666666667,4.75,0.5,19,4,1,0
UIFB3,3,3,1,22,0.333333333,6.333333333,0.333333333,19,3,1,0
C7ON5,3,3,1,74.33333333,0.333333333,6.333333333,0.333333333,19,3,1,0
UX43G,3,6,2,11.5,0.666666667,3.166666667,0.333333333,19,6,1,0
46ZIC,3,3,0,286.6666667,0,6,0,18,0,0,0
X3RP5,3,4,3,11.75,1,4.5,0.75,18,4,1,0
C76Y8,3,4,3,88.5,1,4.5,0.75,18,4,1,0
0KNCK,3,5,3,61,1,3.6,0.6,18,5,1,0
QSIPO,3,3,2,11,0.666666667,6,0.666666667,18,3,1,0
0KO8R,3,3,3,9,1,6,1,18,3,1,0
YTQ9D,3,3,3,82.33333333,1,6,1,18,3,1,0
VYSM7,3,3,3,15.66666667,1,6,1,18,3,1,0
H28LZ,3,6,2,0,0.666666667,3,0.333333333,18,6,1,0
ENGF7,3,3,3,44.66666667,1,6,1,18,3,1,0
H6U47,3,3,2,22.33333333,0.666666667,6,0.666666667,18,3,1,0
QH563,3,3,3,53.33333333,1,6,1,18,3,1,0
071VB,3,4,2,18.75,0.666666667,4.5,0.5,18,4,1,0
K23DV,3,3,1,36,0.333333333,6,0.333333333,18,3,1,0
QO76N,3,3,2,63,0.666666667,6,0.666666667,18,3,1,0
IERPC,3,4,3,10.5,1,4.5,0.75,18,4,1,0
KV7MM,3,4,1,19.25,0.333333333,4.5,0.25,18,4,1,0
JDWEV,3,3,3,31.66666667,1,6,1,18,3,1,0
CCG3C,3,3,2,15,0.666666667,6,0.666666667,18,3,1,0
PTA2S,3,4,2,113.75,0.666666667,4.25,0.5,17,4,1,0
DKTPT,3,3,3,130.6666667,1,5.666666667,1,17,3,1,0
MIF9E,3,5,3,8,1,3.4,0.6,17,5,1,0
V2AOO,3,6,0,0.666666667,0,2.833333333,0,17,6,1,0
FKAOU,3,3,1,53.66666667,0.333333333,5.666666667,0.333333333,17,3,1,0
H1D5D,3,4,1,4,0.333333333,4.25,0.25,17,4,1,0
CSQ93,3,3,3,475,1,5.666666667,1,17,3,1,0
QDLDR,3,5,2,7,0.666666667,3.4,0.4,17,5,1,0
I8O41,3,5,2,12.8,0.666666667,3.4,0.4,17,5,1,0
BY2UH,3,7,0,0,0,2.428571429,0,17,7,1,0
5AK9N,3,5,2,134.6,0.666666667,3.4,0.4,17,5,1,0
LAACH,3,5,3,45.8,1,3.4,0.6,17,5,1,0
0T8ST,3,4,3,16,1,4.25,0.75,17,4,1,0
TNJGK,3,3,3,12.66666667,1,5.666666667,1,17,3,1,0
YWE2J,3,3,3,10,1,5.666666667,1,17,3,1,0
V2YU2,3,6,2,6,0.666666667,2.833333333,0.333333333,17,6,1,0
SPNM3,3,5,1,0,0.333333333,3.4,0.2,17,5,1,0
LMC47,3,5,3,19,1,3.4,0.6,17,5,1,0
OZ03O,3,4,1,17.75,0.333333333,4.25,0.25,17,4,1,0
X7CPZ,3,4,2,34.5,0.666666667,4,0.5,16,5,1,0
5WM2W,3,4,3,40,1,4,0.75,16,4,1,0
V1XGL,3,3,3,110.3333333,1,5.333333333,1,16,3,1,0
C3PZ7,3,6,0,0,0,2.666666667,0,16,6,1,0
X3O6H,3,3,1,44,0.333333333,5.333333333,0.333333333,16,3,1,0
H1L05,3,4,2,13.75,0.666666667,4,0.5,16,4,1,0
N5LTZ,3,5,1,16.2,0.333333333,3.2,0.2,16,5,1,0
2990I,3,3,3,81,1,5.333333333,1,16,3,1,0
7IPQR,3,3,3,107.3333333,1,5.333333333,1,16,3,1,0
OAR4H,3,3,1,21,0.333333333,5.333333333,0.333333333,16,3,1,0
H3PV0,3,4,3,32,1,4,0.75,16,4,1,0
KQ9OK,3,3,2,37.66666667,0.666666667,5.333333333,0.666666667,16,3,1,0
SGJHC,3,5,1,0.2,0.333333333,3.2,0.2,16,5,1,0
WNQU0,3,4,3,14,1,4,0.75,16,5,1,0
RADAB,3,3,2,9,0.666666667,5.333333333,0.666666667,16,4,1,0
1EQQZ,3,4,2,7,0.666666667,4,0.5,16,4,1,0
U1NRY,3,5,1,31.4,0.333333333,3.2,0.2,16,5,1,0
UP471,3,3,2,56.66666667,0.666666667,5.333333333,0.666666667,16,3,1,0
0JYIS,3,3,2,5,0.666666667,5.333333333,0.666666667,16,3,1,0
JAX5G,3,3,3,5,1,5.333333333,1,16,6,1,0
NLD4Z,3,3,3,20,1,5.333333333,1,16,3,1,0
EWUYQ,3,3,3,135.3333333,1,5,1,15,3,1,0
OXPU3,3,3,3,5.666666667,1,5,1,15,6,1,0
1QIE8,3,3,3,19,1,5,1,15,3,1,0
IZYA6,3,3,2,70.33333333,0.666666667,5,0.666666667,15,4,1,0
YXGM4,3,3,3,24.33333333,1,5,1,15,7,1,0
I1CRY,3,3,1,3,0.333333333,5,0.333333333,15,3,1,0
VER66,3,4,3,28.75,1,3.75,0.75,15,4,1,0
FXQ69,3,4,2,8.75,0.666666667,3.75,0.5,15,4,1,0
ZYMJB,3,4,1,23.75,0.333333333,3.75,0.25,15,4,1,0
PLW69,3,3,1,41,0.333333333,5,0.333333333,15,3,1,0
QJV2M,3,3,1,0,0.333333333,5,0.333333333,15,3,1,0
SY0XC,3,4,3,19,1,3.75,0.75,15,4,1,0
5DEIV,3,4,2,15,0.666666667,3.75,0.5,15,4,1,0
1VZUE,3,3,3,79.33333333,1,5,1,15,3,1,0
Q1P7N,3,3,3,11,1,5,1,15,3,1,0
N9N6F,3,3,1,6.666666667,0.333333333,5,0.333333333,15,3,1,0
6G1HV,3,3,2,6.333333333,0.666666667,5,0.666666667,15,3,1,0
X3CI5,3,3,3,31,1,5,1,15,3,1,0
6N3UA,3,4,3,2,1,3.75,0.75,15,4,1,0
97517,3,5,1,0,0.333333333,3,0.2,15,5,1,0
0I97S,3,3,3,19,1,5,1,15,3,1,0
OU4B1,3,4,1,9.25,0.333333333,3.5,0.25,14,4,1,0
LAYA5,3,4,3,22.25,1,3.5,0.75,14,4,1,0
4T1MP,3,5,1,11.6,0.333333333,2.8,0.2,14,5,1,0
SDDDU,3,3,3,0,1,4.666666667,1,14,6,1,0
U7EC3,3,3,3,25.33333333,1,4.666666667,1,14,3,1,0
UUDIX,3,4,1,5.75,0.333333333,3.5,0.25,14,4,1,0
2TZ54,3,3,2,39.33333333,0.666666667,4.666666667,0.666666667,14,3,1,0
5WLQX,3,4,2,4,0.666666667,3.5,0.5,14,4,1,0
G54OJ,3,3,1,5,0.333333333,4.666666667,0.333333333,14,3,1,0
GJ9UE,3,4,2,6,0.666666667,3.5,0.5,14,4,1,0
OLUJM,3,4,1,16.75,0.333333333,3.5,0.25,14,4,1,0
0ALB2,3,3,3,15,1,4.666666667,1,14,3,1,0
PI5W6,3,4,1,5.75,0.333333333,3.5,0.25,14,4,1,0
I9KU3,3,5,1,0.4,0.333333333,2.8,0.2,14,5,1,0
1VCQ0,3,4,2,36.25,0.666666667,3.5,0.5,14,4,1,0
IOLPT,3,4,1,0,0.333333333,3.5,0.25,14,5,1,0
8F6SF,3,3,2,24.66666667,0.666666667,4.666666667,0.666666667,14,3,1,0
UA8T9,3,3,2,60.66666667,0.666666667,4.666666667,0.666666667,14,4,1,0
FXYHX,3,4,2,7.5,0.666666667,3.5,0.5,14,4,1,0
LD5EV,3,4,2,8.25,0.666666667,3.5,0.5,14,4,1,0
4MYWW,3,3,1,4,0.333333333,4.333333333,0.333333333,13,3,1,0
CRGC0,3,3,1,10,0.333333333,4.333333333,0.333333333,13,3,1,0
MS3KM,3,3,3,44.33333333,1,4.333333333,1,13,3,1,0
7OVMR,3,3,1,5.333333333,0.333333333,4.333333333,0.333333333,13,3,1,0
QOS0I,3,3,3,39,1,4.333333333,1,13,3,1,0
XWIEQ,3,3,2,2,0.666666667,4.333333333,0.666666667,13,5,1,0
K073U,3,5,0,0,0,2.6,0,13,5,1,0
I3Q4W,3,3,2,37,0.666666667,4.333333333,0.666666667,13,3,1,0
4976T,3,4,2,40.25,0.666666667,3.25,0.5,13,4,1,0
SSFCZ,3,3,3,410,1,4.333333333,1,13,3,1,0
RNK90,3,4,1,0,0.333333333,3.25,0.25,13,4,1,0
RFDUQ,3,4,1,3.25,0.333333333,3.25,0.25,13,4,1,0
3IMHV,3,4,2,9.75,0.666666667,3.25,0.5,13,4,1,0
Q5BRQ,3,4,1,19,0.333333333,3.25,0.25,13,4,1,0
4R8I6,3,5,0,0,0,2.6,0,13,5,1,0
8UNZP,3,4,1,0,0.333333333,3.25,0.25,13,4,1,0
I74OO,3,4,1,0,0.333333333,3.25,0.25,13,4,1,0
GLR72,3,4,1,6.25,0.333333333,3.25,0.25,13,4,1,0
EF1Y8,3,3,2,39.66666667,0.666666667,4.333333333,0.666666667,13,3,1,0
K63J6,3,5,0,0,0,2.6,0,13,5,1,0
8V3IA,3,3,3,22.66666667,1,4.333333333,1,13,3,1,0
UALYJ,3,3,2,26.66666667,0.666666667,4.333333333,0.666666667,13,3,1,0
MW5R7,3,4,1,0,0.333333333,3.25,0.25,13,5,1,0
VIG6H,3,4,1,0,0.333333333,3.25,0.25,13,4,1,0
KMAX4,3,4,2,2.5,0.666666667,3.25,0.5,13,4,1,0
8TXQ4,3,3,2,86,0.666666667,4.333333333,0.666666667,13,3,1,0
ZAHZN,3,5,1,3.8,0.333333333,2.6,0.2,13,5,1,0
JGHO4,3,5,1,0,0.333333333,2.6,0.2,13,5,1,0
IUQS0,3,3,1,13.33333333,0.333333333,4.333333333,0.333333333,13,3,1,0
G773P,3,3,3,11.66666667,1,4.333333333,1,13,3,1,0
4CYZC,3,3,2,87.33333333,0.666666667,4.333333333,0.666666667,13,3,1,0
LY34W,3,3,2,10,0.666666667,4.333333333,0.666666667,13,3,1,0
TIJT0,3,5,0,0,0,2.6,0,13,5,1,0
7UHDW,3,4,1,0.25,0.333333333,3,0.25,12,4,1,0
LF42N,3,3,2,26,0.666666667,4,0.666666667,12,3,1,0
D0ZSA,3,4,1,63.25,0.333333333,3,0.25,12,4,1,0
6Y246,3,4,0,0.75,0,3,0,12,4,1,0
AF7MI,3,3,2,2.666666667,0.666666667,4,0.666666667,12,3,1,0
RHF2X,3,3,1,5.333333333,0.333333333,4,0.333333333,12,3,1,0
UEMKC,3,3,3,30.66666667,1,4,1,12,3,1,0
71OG8,3,3,2,59.33333333,0.666666667,4,0.666666667,12,3,1,0
JOFD0,3,3,2,14.66666667,0.666666667,4,0.666666667,12,3,1,0
F5II0,3,3,2,46,0.666666667,4,0.666666667,12,3,1,0
DELJM,3,3,3,0,1,4,1,12,6,1,0
NML3J,3,3,1,2.666666667,0.333333333,4,0.333333333,12,3,1,0
XTO0A,3,3,2,8.666666667,0.666666667,4,0.666666667,12,3,1,0
N3ICE,3,3,2,14,0.666666667,4,0.666666667,12,3,1,0
BY8GW,3,3,2,29.66666667,0.666666667,4,0.666666667,12,3,1,0
M8PO0,3,3,3,0,1,4,1,12,6,1,0
HYXAG,3,3,2,3.333333333,0.666666667,4,0.666666667,12,3,1,0
I8O2G,3,4,2,0.5,0.666666667,3,0.5,12,4,1,0
F40ZH,3,3,3,6.333333333,1,4,1,12,3,1,0
TA9BP,3,3,2,9.333333333,0.666666667,4,0.666666667,12,3,1,0
30BOG,3,3,2,11,0.666666667,4,0.666666667,12,3,1,0
O3SO8,3,3,3,6,1,4,1,12,3,1,0
BGT9H,3,3,2,5.666666667,0.666666667,4,0.666666667,12,3,1,0
L1GMH,3,3,3,7.333333333,1,4,1,12,3,1,0
VOIES,3,3,3,0,1,4,1,12,6,1,0
M1G5T,3,3,1,20,0.333333333,4,0.333333333,12,3,1,0
31RKM,3,3,2,7.333333333,0.666666667,4,0.666666667,12,3,1,0
I4UBX,3,3,2,5,0.666666667,4,0.666666667,12,3,1,0
75XL9,3,3,2,0,0.666666667,4,0.666666667,12,3,1,0
M79I0,3,4,1,0.75,0.333333333,3,0.25,12,4,1,0
AWXIG,3,3,2,0.333333333,0.666666667,4,0.666666667,12,3,1,0
1NW3Z,3,4,2,27.25,0.666666667,3,0.5,12,4,1,0
EHTZ8,3,4,1,0,0.333333333,3,0.25,12,3,0.75,0
NK3C1,3,4,0,1,0,3,0,12,4,1,0
UFVY1,3,3,2,27.33333333,0.666666667,4,0.666666667,12,3,1,0
L0RSH,3,3,3,6.333333333,1,4,1,12,3,1,0
F203Y,3,4,2,17,0.666666667,3,0.5,12,4,1,0
XE3BU,3,6,3,11.83333333,1,2,0.5,12,0,0,0
1HKT0,3,4,1,0,0.333333333,3,0.25,12,4,1,0
5RQDM,3,4,1,14.25,0.333333333,3,0.25,12,5,1,0
O7L4M,3,3,3,0,1,4,1,12,6,1,0
VPXSX,3,3,2,31,0.666666667,4,0.666666667,12,3,1,0
5UTQP,3,3,1,0.333333333,0.333333333,4,0.333333333,12,3,1,0
F5YUW,3,3,1,48.33333333,0.333333333,4,0.333333333,12,4,1,0
HMYWN,3,3,2,9,0.666666667,4,0.666666667,12,3,1,0
EV7TG,3,4,1,0.5,0.333333333,2.75,0.25,11,4,1,0
KZLZ7,3,4,0,0,0,2.75,0,11,4,1,0
LOGUI,3,3,1,1,0.333333333,3.666666667,0.333333333,11,3,1,0
7H2DY,3,4,0,0,0,2.75,0,11,4,1,0
B5CTQ,3,3,0,1,0,3.666666667,0,11,3,1,0
PG3DS,3,3,1,3,0.333333333,3.666666667,0.333333333,11,3,1,0
N6ECE,3,3,1,1,0.333333333,3.666666667,0.333333333,11,3,1,0
BOYHH,3,3,1,4.666666667,0.333333333,3.666666667,0.333333333,11,3,1,0
4UR4K,3,4,0,0,0,2.75,0,11,4,1,0
XODF8,3,3,0,2.333333333,0,3.666666667,0,11,3,1,0
2YCZ2,3,3,2,11,0.666666667,3.666666667,0.666666667,11,3,1,0
YDV07,3,3,1,2.666666667,0.333333333,3.666666667,0.333333333,11,3,1,0
YICPI,3,3,1,0.666666667,0.333333333,3.666666667,0.333333333,11,3,1,0
XZNXP,3,3,1,0,0.333333333,3.666666667,0.333333333,11,3,1,0
SQHFI,3,3,2,5.333333333,0.666666667,3.666666667,0.666666667,11,3,1,0
12UXC,3,4,0,0,0,2.75,0,11,4,1,0
Z3Y5C,3,3,1,0,0.333333333,3.666666667,0.333333333,11,4,1,0
LZDV4,3,3,2,64.33333333,0.666666667,3.666666667,0.666666667,11,3,1,0
O5G48,3,3,1,1.666666667,0.333333333,3.666666667,0.333333333,11,3,1,0
00G7Z,3,4,0,0,0,2.75,0,11,4,1,0
V405W,3,3,2,13.66666667,0.666666667,3.666666667,0.666666667,11,3,1,0
OQE46,3,3,2,5.333333333,0.666666667,3.666666667,0.666666667,11,3,1,0
AANT6,3,4,1,21.75,0.333333333,2.75,0.25,11,4,1,0
TC945,3,3,2,7.333333333,0.666666667,3.666666667,0.666666667,11,3,1,0
679EC,3,3,2,1.333333333,0.666666667,3.666666667,0.666666667,11,3,1,0
8GZSL,3,3,2,3,0.666666667,3.666666667,0.666666667,11,3,1,0
GXW6R,3,4,0,0,0,2.75,0,11,4,1,0
PM9ZV,3,4,2,4.25,0.666666667,2.75,0.5,11,4,1,0
XK8SJ,3,3,2,2,0.666666667,3.666666667,0.666666667,11,3,1,0
7V2DO,3,4,0,0,0,2.75,0,11,4,1,0
1G5OE,3,4,0,0,0,2.75,0,11,4,1,0
3RH3P,3,3,1,2.666666667,0.333333333,3.666666667,0.333333333,11,3,1,0
U2KUB,3,3,1,4.666666667,0.333333333,3.666666667,0.333333333,11,3,1,0
6.91E+06,3,4,0,0,0,2.75,0,11,4,1,0
LBCEY,3,3,2,3.333333333,0.666666667,3.666666667,0.666666667,11,3,1,0
CS30Y,3,4,1,0,0.333333333,2.75,0.25,11,4,1,0
7VS5X,3,3,3,2.333333333,1,3.666666667,1,11,3,1,0
W4H06,3,3,1,5,0.333333333,3.666666667,0.333333333,11,3,1,0
CAB6J,3,4,0,0,0,2.75,0,11,4,1,0
W489R,3,4,0,0,0,2.75,0,11,4,1,0
YW04N,3,4,1,0,0.333333333,2.75,0.25,11,5,1,0
RHBIK,3,3,1,4.666666667,0.333333333,3.666666667,0.333333333,11,3,1,0
VJE9J,3,3,1,5,0.333333333,3.666666667,0.333333333,11,3,1,0
